id;course_id;grade
4;8;7.5
4;8;5.5
4;8;6.5
4;8;5.5
4;8;6.5
4;8;7.5
4;4;3
4;4;5.5
4;4;6
4;3;12.25
4;3;12.25
4;3;14.25
4;3;13.5
4;3;14
4;3;14.25
4;3;12.25
4;7;10.5
4;7;12.5
4;7;10.3
4;7;10.9
4;7;10.9
4;7;12
4;9;7.9
4;9;9.5
4;9;7
4;9;8.5
4;9;15
4;9;7.9
4;5;9.75
4;5;16.5
4;5;16.5
4;5;11.25
4;5;12.75
4;5;14
4;5;12.5
4;5;10.75
4;5;13
4;10;7
4;10;7.5
4;10;7.5
4;10;4.5
4;6;9.25
4;6;10.25
4;6;11.25
4;6;17
4;6;14.25
4;6;15.5
4;6;15.75
4;6;14
4;1;13.5
4;1;13
4;1;9
4;1;11.5
4;1;12
4;1;10.5
4;2;8
4;2;4.5
4;2;8.5
4;2;7.5
4;2;9.5
20;8;6
20;8;3.5
20;8;7.5
20;8;7
20;8;3
20;8;5.5
20;4;8
20;4;8
20;4;7
20;3;12.5
20;3;unknown
20;3;11.75
20;3;13.75
20;3;14
20;3;14.5
20;7;11.4
20;7;11.2
20;7;10.7
20;7;11.2
20;7;9.9
20;9;13.4
20;9;8
20;9;3.8
20;9;2.2
20;9;15.2
20;5;9.75
20;5;16
20;5;11
20;5;8.5
20;5;13.5
20;5;13
20;5;11.5
20;5;11.5
20;10;2.5
20;10;6.5
20;10;12.5
20;10;8
20;10;8.5
20;6;15.25
20;6;16.75
20;6;12.75
20;6;13.25
20;6;unknown
20;6;14.25
20;6;10.5
20;6;12.5
20;1;12
20;1;14
20;1;10
20;1;9
20;1;9.5
20;1;13
20;1;14.5
20;2;7
20;2;6
20;2;6.5
20;2;9.5
20;2;13
29;8;7
29;8;4.5
29;8;6.5
29;8;6.5
29;8;7
29;4;8
29;4;5.5
29;4;7
29;3;14.75
29;3;16.25
29;3;14.5
29;3;14.5
29;3;16.25
29;3;12.25
29;3;14.5
29;7;8.7
29;7;9.4
29;7;11.6
29;7;13.3
29;7;11.2
29;7;9.2
29;9;10
29;9;8.3
29;9;5.7
29;9;10
29;9;15.8
29;9;5.9
29;5;10
29;5;10.25
29;5;16
29;5;unknown
29;5;18.75
29;5;10.5
29;5;8.5
29;5;12.25
29;5;9.5
29;10;4.5
29;10;8.5
29;10;10
29;10;10
29;10;10
29;6;7.75
29;6;8.25
29;6;20
29;6;12.25
29;6;13
29;6;14.25
29;6;13.75
29;6;11.75
